bin,subject,risk_seeking_lea,from_trial,to_trial,mean_asym_lea,mean_Rmean_lea,mean_P_lea,mean_R_lea,decodability_negative_PE,decodability_positive_PE,p_decod
0,228,-1.54614764392355,1,432,0.04232728659185,2.34528192511572,-2.31825800629264,2.4011115977222,-0.157746292282609,-0.0589924995863537,0.185201197255796
1,228,1.9600414855592,433,864,0.325242214086652,2.4950555728108,-2.14340846718966,2.93612450193589,0.0190445483323057,0.0308218629365495,0.185201197255796
2,228,-0.191782702626535,865,1296,0.441259263194029,1.86242211648344,-1.51524526041926,2.32212809710281,0.042115026997231,-0.223164322098689,0.185201197255796
3,228,0.704515272810474,1297,1584,1.11177777989964,1.3384019583026,-0.783568140473149,2.34971614659347,0.117356922484191,-0.0563362913425341,0.185201197255796
4,228,-1.71773708796457,1585,2016,-0.250962875662462,0.911832413371957,-1.05103268376292,0.814398364481655,0.0713460056064219,0.0206766784335441,0.185201197255796
5,228,2.52483321760233,2017,2304,-0.0602360446145494,1.51770802632735,-1.57853690641911,1.49754672588544,0.275296903217303,-0.0170962189487694,0.185201197255796
6,228,3.13389126089453,2305,2736,0.464462879676907,2.32845363961104,-1.86406187890334,2.94193097577536,-0.032284018632849,0.065190542472016,0.185201197255796
7,228,-0.896999670366825,2737,3168,-0.507362711332816,1.63169615869975,-2.10980341564944,1.28517087750883,-0.0620452933536201,-0.0195156470776271,0.185201197255796
8,228,0.00618368572673029,3169,3600,-0.0187037272267179,1.73731402574282,-1.7747604747265,1.75046664936407,0.101542050238943,-0.0709079299061182,0.185201197255796
9,228,1.29994242856262,3601,4032,0.174601239310632,1.60692853203224,-1.51558579558576,1.7701330461134,-0.127980390995225,0.221719352006348,0.185201197255796
0,230,-1.0950116388668,1,432,-0.135830668930247,3.73207523157354,-4.01442444451763,3.49153335968313,0.169365631388283,-0.084407732419677,2.97214953304195e-12
1,230,-1.71771673682621,433,864,-0.541611728199406,2.5219231695825,-3.31428765930092,1.93990532333813,-0.053930790546533,0.037971237584273,2.97214953304195e-12
2,230,1.42093192594872,865,1296,0.161469231377729,2.35877385349918,-2.18547517815936,2.5694319849646,0.185251210423392,0.0642027759631116,2.97214953304195e-12
3,230,-1.64245105770796,1297,1728,0.249195377440058,4.26071919161019,-3.77359626510837,4.82860170754223,0.0949346472777054,0.0773820577064624,2.97214953304195e-12
4,230,0.438841319285794,1729,2160,0.103079659337369,2.73457836392798,-2.61164494177975,2.88574082482847,0.0714452084097826,-0.0419787136723744,2.97214953304195e-12
5,230,1.9681302087609,2161,2592,-0.0508778818074364,3.51332153325818,-3.60902104933465,3.43895681651174,0.0994696003184084,-0.123312665791287,2.97214953304195e-12
6,230,-0.872584202710936,2593,3024,-0.45637569062963,2.68039974733341,-3.3695816333513,2.15323579977557,0.0103846231117951,0.0441762519282895,2.97214953304195e-12
7,230,-0.045787808572414,3025,3456,-0.263862130289086,4.21170286039292,-4.81470650628182,3.70656078977125,0.252728650221978,-0.0653836450287684,2.97214953304195e-12
8,230,0.613519045637375,3457,3888,-0.117905457719015,4.52874053376656,-4.80741093700962,4.31182902752942,0.100003065244744,-0.104404059467615,2.97214953304195e-12
0,231,-0.0414025324061744,1,432,0.5611640849694,2.05089324716192,-1.55968804001358,2.72975308229447,0.0317678057918158,-0.150387401491738,0.581331361207668
1,231,-1.98390106440612,433,864,0.168038963508809,0.756540611600327,-0.709906359131602,0.832189070193391,0.0615727285340806,-0.23935595770026,0.581331361207668
2,231,1.35170145410633,865,1296,0.17576149782192,2.3981851156984,-2.20711519803041,2.62516836403342,0.123025014305051,0.0897542603405116,0.581331361207668
3,231,-0.805878039722344,1297,1728,0.953292794471752,1.3637185009248,-0.86539350251731,2.19254833297215,-0.153716860171456,-0.0112751990141759,0.581331361207668
4,231,1.37768438126068,1729,2160,0.270731095541259,1.44558713315318,-1.28324266961713,1.65984066694229,0.0680454311612976,0.0126362662906041,0.581331361207668
5,231,0.948314817773972,2161,2592,0.434558082204558,0.903541472824359,-0.737641378596022,1.14098102138347,0.0328852889473482,-0.0232769264589514,0.581331361207668
6,231,1.5683103312302,2593,3024,0.94240358772513,1.87824194732843,-1.19809659512926,2.99772920877421,0.0511416133600074,0.0287750512226492,0.581331361207668
7,231,0.406900091870694,3025,3456,0.197211249414456,0.858106192778722,-0.808194197434701,0.957996087930905,-0.0268972936937754,-0.142981810456326,0.581331361207668
8,231,-1.73694094222856,3457,3888,0.360907309214787,1.91030724483792,-1.65465303733112,2.28824301060435,-0.062240278912489,0.0365355703484816,0.581331361207668
0,232,-0.76665579317166,1,432,-0.266285937295284,2.06410971409784,-2.37185847592118,1.82042998850723,0.181793561899053,-0.0336069434112628,0.000101482224880141
1,232,-0.684537698421708,433,864,-0.0249180799456562,3.03081099981719,-3.07957773030695,3.0033204502972,0.00901057750971139,-0.00875894446221953,0.000101482224880141
2,232,0.609998469179611,865,1296,-0.402315054514821,1.57244505890146,-1.93435018468901,1.29904183796327,0.0956171317559147,0.0812341172967677,0.000101482224880141
3,232,-1.53639117835597,1297,1728,0.17877080035538,2.69196256896761,-2.4785678424439,2.94624791760538,-0.019538693166558,-0.0763503507973577,0.000101482224880141
4,232,-0.785977888804959,1729,2160,0.0703301978028288,2.24546368265766,-2.17983447010417,2.33191394418065,-0.0568183889049265,0.0577343988635265,0.000101482224880141
5,232,-0.595847035058662,2161,2592,-0.618073782270898,3.31374312634408,-4.51077906125921,2.45168851106248,0.139377704008226,0.0736325522962395,0.000101482224880141
6,232,0.557612487043639,2593,3024,0.111355112484136,2.94086200883486,-2.7920535721312,3.12835884140612,0.0117190952942911,-0.155951709662795,0.000101482224880141
7,232,0.0948398416712561,3025,3456,0.153894333188698,1.94713117448693,-1.81664862097022,2.13107030060221,0.0476108527123499,0.136440333519584,0.000101482224880141
8,232,-1.16846731761009,3457,3888,0.176538175193134,4.14707246683696,-3.83880372398908,4.53805466185439,0.0640807311236793,0.0731960978608545,0.000101482224880141
0,233,-0.0795078829283124,1,432,0.697661661997742,1.97421379048944,-1.4123635261836,2.80098989723813,-0.0142931780321282,0.00813601592824525,0.252579441207375
1,233,0.93925727345728,433,864,-0.177194557590191,2.19487409429363,-2.4066345269929,2.02638469140906,0.0971441284765615,-0.104810868458235,0.252579441207375
2,233,0.125476564272655,865,1296,-0.000964408410671449,1.83365402124936,-1.84263590714798,1.84794230033962,-0.178397326969327,0.0595598687123074,0.252579441207375
3,233,-1.15833121165592,1297,1584,0.196609964092102,1.80078454854965,-1.64989781576662,1.99909738339683,-0.0556949192705481,-0.0409023638814926,0.252579441207375
4,233,2.45702349069011,1585,2016,0.57676294024199,1.94050817117065,-1.47314910200465,2.60347496617869,-0.135220735024172,0.0111783055426618,0.252579441207375
5,233,0.277553100746931,2017,2448,0.519552539703239,2.38275682951817,-1.87898890721572,3.07708619772734,0.0682655458548624,-0.0332016817495987,0.252579441207375
6,233,0.41703818001362,2449,2880,1.12950926898586,2.51056581596685,-1.45405559740546,4.40250507822158,0.0550250320997116,-0.0758399660998856,0.252579441207375
7,233,2.68309051987347,2881,3312,0.567710256454864,3.21679331518502,-2.45107917426181,4.26859623461836,0.0931102681238032,0.0992295615636324,0.252579441207375
8,233,-1.0265874624015,3313,3744,0.109231741370273,3.52015340908266,-3.37528039999609,3.72220275933021,-0.0837796778363652,0.017014997044506,0.252579441207375
9,233,2.19806034082408,3745,4032,0.757651245339621,2.40248572922152,-1.68170126133622,3.55250569649572,-0.225397744509665,0.142040069641177,0.252579441207375
0,234,2.50741527881103,1,432,1.71545834744532,1.52104651777347,-0.673960911939892,3.56531848318456,0.0368768641319236,-0.0919720465986329,9.00848617932896e-20
1,234,-1.42910360677006,433,864,-0.69271840480202,0.95023217775781,-1.35805863075757,0.686205640584217,0.175607310921411,0.0682203576439872,9.00848617932896e-20
2,234,0.418030920612327,865,1296,-0.146611288054,2.28861555662323,-2.46650531496111,2.14309610445486,0.217928417585751,-0.0775131705102393,9.00848617932896e-20
3,234,-2.20514729461402,1297,1728,-0.0420714866037787,4.19321275687671,-4.28926752332921,4.11229262089793,0.0646199954465226,-0.0229958358779999,9.00848617932896e-20
4,234,1.05247206475236,1729,2160,-0.397357898014668,3.00483296384964,-3.66766928395888,2.47935624040528,0.0923547972056573,0.06846459289961,9.00848617932896e-20
5,234,-0.688504946594346,2161,2592,-0.618950662370688,3.18368787496895,-4.33375506571014,2.3572332744293,0.176289279995706,-0.0968257847358294,9.00848617932896e-20
6,234,-1.07926927552425,2593,3024,-1.18769636238933,2.51955922977551,-4.53501162742746,1.42272241436494,0.208801007047922,0.118350713816005,9.00848617932896e-20
7,234,-0.963033717307594,3025,3456,-0.261978269103202,4.12545836713343,-4.70094202776356,3.65119885316254,0.241275916174649,0.0352308518671761,9.00848617932896e-20
8,234,-1.07801314330853,3457,3888,-0.384366876889436,4.90583645691574,-5.9323323038853,4.09719321783165,0.11266701151842,0.0774604802922953,9.00848617932896e-20
0,259,0.716551500723255,1,432,0.340911343632877,0.783761550760881,-0.68971931330317,0.94457510266896,-0.03417048221116,0.0259076851299877,2.64386890351189e-07
1,259,2.24653077761766,433,864,1.69417470135641,0.98200687071641,-0.443949853148276,2.26582967767144,0.0878967477780322,-0.0714494866664628,2.64386890351189e-07
2,259,0.607991229099435,865,1296,0.589382424732676,0.504444130426536,-0.406745665598541,0.678598032464493,0.0981158670331046,0.0110692988132638,2.64386890351189e-07
3,259,2.3109334792355,1297,1728,1.64463421842844,0.698485703037001,-0.32539002418482,1.57635095860822,0.0994573197970135,-0.0283525638724788,2.64386890351189e-07
4,259,-1.62562165505689,1729,2160,2.00376518365098,0.784726547340373,-0.306052593030537,2.1144798133693,-0.0301368104654593,-0.0450347234360974,2.64386890351189e-07
5,259,1.6435062154215,2161,2592,2.27007239504653,0.832184116213208,-0.285528934311786,2.54538263344432,-0.0239648580780259,-0.0740997027872193,2.64386890351189e-07
6,259,2.51718114411781,2593,3024,0.745056816528994,0.879024166163745,-0.649206923818475,1.26150890171189,0.140253454382674,0.0808134480433211,2.64386890351189e-07
7,259,3.07273076376939,3025,3456,1.56003717697931,1.3403105219996,-0.648414026238527,2.89073090964283,0.118267518639808,0.0931824575193859,2.64386890351189e-07
8,259,0.563432856176003,3457,3888,1.0693121948564,0.752391504150758,-0.467147417721038,1.28686771284237,0.0441516352952748,0.00454828963010343,2.64386890351189e-07
0,260,3.10174534497987,1,432,1.14383487523609,2.2858620825087,-1.31419925069895,4.05121940857265,0.0896838703443635,0.164088145316283,1.33959523847e-06
1,260,-0.173241112072122,433,864,0.764820340909603,2.07153921596376,-1.43277040815531,3.03491813152665,0.186714704416108,0.0117087628816967,1.33959523847e-06
2,260,-3.50839514682812,865,1296,0.593688853818834,2.11918093917905,-1.5916815366842,2.86011039678758,0.00975680857467178,0.0291153261357487,1.33959523847e-06
3,260,-0.286894094609516,1297,1728,0.209993585319198,1.55446201205498,-1.41195219282608,1.74064686707843,0.02575808113237,0.0208855537775415,1.33959523847e-06
4,260,-0.0610523060731014,1729,2160,0.609665587382025,1.70056999981533,-1.27702168852044,2.30430836689786,-0.0788699431759898,0.0963980496767287,1.33959523847e-06
5,260,1.94369808985294,2161,2592,0.770434556670135,2.89823221890868,-1.9938428411786,4.2634401610728,0.193082548784017,-0.043287238723545,1.33959523847e-06
6,260,0.821517253552301,2593,3024,0.475715079929077,2.32649947814706,-1.85256903775885,2.95500334018276,-0.0677817744624048,0.0293840026924645,1.33959523847e-06
7,260,0.898540627533303,3025,3456,0.694549435977462,5.41374917692885,-3.84374095628075,7.66536855180147,0.169290675812649,-0.143863161539268,1.33959523847e-06
8,260,0.963182571510362,3457,3888,0.47997255413244,3.11711976580078,-2.49223768921751,3.97997383000916,0.106104312349286,0.00544419711928764,1.33959523847e-06
0,262,1.0355100325204,1,432,1.65401822902958,1.86502250164067,-0.837844953092591,4.24539078189003,-0.0387951359004704,0.0717282802196465,0.813392280849622
1,262,-0.167346591680634,433,720,1.04233132755104,2.07151356506742,-1.25902220970797,3.46600736679896,-0.0238437328911645,-0.0128952934330113,0.813392280849622
2,262,0.15697762738334,721,1152,1.35842554824832,1.49807044896656,-0.789019892389299,2.94044946622338,-0.0429663186067637,-0.103068693963836,0.813392280849622
3,262,3.38356579901324,1153,1584,1.89198110178882,1.64760789661949,-0.655328260933592,4.21739052458791,0.0312183165602279,0.0301689318138357,0.813392280849622
4,262,-0.428811515770395,1585,1872,0.659812546988135,1.02695538343319,-0.757628249757639,1.43663469688318,-0.0623792604374181,-0.0721562430774084,0.813392280849622
5,262,1.90723726239524,1873,2160,1.30446659474727,1.21607471024343,-0.665660747203739,2.30918177933246,-0.0127935618392623,0.0488747041808855,0.813392280849622
6,262,-0.484245029186389,2161,2592,0.962878798157844,2.54752910305025,-1.59025068032319,4.1184958663444,-0.0551910967498363,0.0144369329263329,0.813392280849622
7,262,2.65246224321063,2593,3024,1.31629430654918,1.09104598832857,-0.607523365243571,2.08432353581907,0.0267187077111527,0.0463305386788876,0.813392280849622
8,262,-0.677738897313605,3025,3456,0.255882751691774,0.869473839579306,-0.801473818522953,0.991031345802271,0.030103093008843,0.120467306002341,0.813392280849622
9,262,-0.611261741998592,3457,3888,0.990078830427889,1.96186439560661,-1.29444397327938,3.1567086143834,-0.0219288971199171,0.00329328811035972,0.813392280849622
0,265,1.05135379903556,1,432,-0.00578199266811324,0.70075949172675,-0.782320766266677,0.687522306169164,-0.0851786875877882,-0.0425361748971085,0.191026054239975
1,265,2.8492621015229,433,864,1.47630250306802,1.75457533477124,-0.861140928298356,3.65225107996397,-0.115873460717629,0.190103952784262,0.191026054239975
2,265,0.741527766647568,865,1296,1.61033178452079,0.850577307683373,-0.39493917066039,1.88347343697484,-0.0198598459831478,-0.00176923282662345,0.191026054239975
3,265,0.96678973238236,1297,1728,1.7362550578005,0.625086893782465,-0.275326016607615,1.49116135019955,0.0737563807479736,0.00635550635469684,0.191026054239975
4,265,-1.02631350255382,1729,2160,1.00193142928795,0.908000706843405,-0.579434087349307,1.48040697593796,0.0717487824952862,-0.0412292530748634,0.191026054239975
5,265,1.64980361604035,2161,2592,1.04367367893568,1.2907524047628,-0.818727935547555,2.14498314515202,0.166440227829344,-0.0192739007832296,0.191026054239975
6,265,1.43132966099051,2593,3024,1.5594455248795,0.973616230722124,-0.46205715468065,2.11770744924348,-0.0868556749262523,-0.00742923977823817,0.191026054239975
7,265,2.32227425014905,3025,3168,1.06345454052055,0.654316267353217,-0.410986501895443,1.19701259376965,0.0702565242683891,0.41409156035355,0.191026054239975
8,265,0.766449502592812,3169,3600,1.96648001939645,1.11003073832974,-0.432996164561094,2.94308825924563,-0.102601262442227,-0.0226240014944746,0.191026054239975
9,265,0.238338804746842,3601,3904,0.85911498239409,0.79785133208654,-0.577935101389022,1.21652873626111,-0.0821868029622314,-0.0227615516187483,0.191026054239975
0,266,-0.589793504336818,1,432,0.269290109108611,2.54189492597587,-2.24236437677364,2.91437048821686,-0.0325543292080105,-0.0234950553355339,0.0419688134001112
1,266,-2.41015611618729,433,864,-0.0627172387489473,3.5926382788721,-3.70901841989133,3.49982487502,-0.0504806751330162,-0.0493117961402669,0.0419688134001112
2,266,0.564209128097996,865,1296,-0.117606914634045,1.79141140830757,-1.90707002368956,1.70350899147298,-0.0199039386225495,0.0450772391220315,0.0419688134001112
3,266,-1.97589804404878,1297,1728,-0.593594045219731,3.40953388903639,-4.58501107245947,2.55081957512169,-0.128374424575171,-0.069344264504606,0.0419688134001112
4,266,-1.32360628193143,1729,2160,-0.35685402638842,4.10990939943031,-4.91587059049696,3.45287205612414,0.030440023894356,-0.0694295986703213,0.0419688134001112
5,266,-0.397030571338734,2161,2592,0.0720075088338042,4.15124880048957,-4.01335096750995,4.32037230447872,-0.117397313807792,-0.117317866922981,0.0419688134001112
6,266,-2.561794116895,2593,3024,-0.271050390780138,4.06668893395053,-4.65887145772088,3.56905475510449,-0.171049055503924,0.0975982430456588,0.0419688134001112
7,266,1.07706344292932,3025,3456,0.360770120241567,2.60956335808366,-2.20456781454382,3.13582643099016,0.0589413900871557,0.00942134258386796,0.0419688134001112
8,266,-1.75139577370798,3457,3744,0.0436719057131594,3.71310505671768,-3.67705509578283,3.82220077867177,0.154512858657102,0.102870229968008,0.0419688134001112
9,266,1.63982714071273,3745,4032,0.239322254488447,1.87990838221586,-1.69369783549622,2.16006202486587,0.0797727582831466,0.0954400544591585,0.0419688134001112
0,268,-0.403194892821792,1,432,0.632047265604316,2.09885877572544,-1.55117311953477,2.88519534223472,0.153220637614393,0.0233230705730537,6.0641903728414e-07
1,268,3.11400070270788,433,864,2.21113160659159,1.97232367470953,-0.687079296889205,5.90008636136544,-0.0544542496281525,0.0318130448143561,6.0641903728414e-07
2,268,2.44636144163276,865,1296,1.65879257205365,1.58010772675884,-0.707748797011216,3.5973609979887,0.0978022168822544,0.0447278059235579,6.0641903728414e-07
3,268,1.70058341514035,1297,1728,0.969882034836754,3.1861647113685,-1.98078840325444,5.1617546528426,0.0550476816169887,-0.137396858109828,6.0641903728414e-07
4,268,-0.0437031275432323,1729,2160,0.817663471451199,2.95311544918406,-1.98225999166725,4.43962854790066,0.174165174742469,0.0383334887848075,6.0641903728414e-07
5,268,-0.352497977975596,2161,2592,1.21209435208549,1.68857927399251,-0.948666732902715,3.06783367832365,-0.134311399445065,0.0525875404300244,6.0641903728414e-07
6,268,0.861584924061982,2593,2736,0.573151727349213,1.34027342237672,-1.0600010251042,1.79720831998194,-0.195832694900409,-0.0552958117401094,6.0641903728414e-07
7,268,0.190588352126812,2737,3168,1.01172342594058,1.91421932923785,-1.18283187887973,3.16269290011437,0.123100559694384,0.113120580851465,6.0641903728414e-07
8,268,2.26372143576139,3169,3600,1.04262906378464,2.01445793216114,-1.2352138704914,3.3727254759888,-0.163556358963819,-0.00740390995029768,6.0641903728414e-07
9,268,1.82986257020028,3601,4032,0.746736065169939,2.69267679739813,-1.91149733189656,3.89047444413781,-0.332831933408305,-0.159702719755315,6.0641903728414e-07
0,269,-0.117893635000994,1,432,-0.146533632001151,1.31916020916458,-1.42413628501698,1.25386378942495,-0.146408268034555,0.0295954932528483,0.226899213298276
1,269,-1.2929771439898,433,720,-0.213919237841698,1.50822018521218,-1.70122543811486,1.37242603601917,-0.00255300588465418,-0.0225879810722562,0.226899213298276
2,269,-2.95565653337194,721,1152,-0.339618054440585,2.67704651034214,-3.17046349501992,2.27787997436364,-0.206945956823074,-0.0215524751996327,0.226899213298276
3,269,0.384227265728116,1153,1440,-0.611202544867029,2.74328755325574,-3.72213035264867,2.04786727957312,0.170520049539296,-0.176665870914199,0.226899213298276
4,269,1.84036686392419,1441,1872,1.1931522775936,0.933903512494311,-0.529559070533713,1.69950704804313,-0.0471884398051748,0.115114689552082,0.226899213298276
5,269,1.86794425850187,1873,2160,0.655459896212237,1.4073378133932,-1.05188381547952,1.93950177734307,-0.0374956906077646,0.172636284368646,0.226899213298276
6,269,2.34268383337998,2161,2592,0.307191208566547,2.04837267373825,-1.77639254912141,2.38939039615247,-0.206255974529306,0.0953773692180071,0.226899213298276
7,269,1.86642120301758,2593,3024,0.605097380461374,2.25046641003339,-1.68219320334731,3.04244836798026,-0.0797323021414752,-0.0629037120912528,0.226899213298276
8,269,0.55347547393655,3025,3312,-0.148963127336838,2.27249647265066,-2.46879452694046,2.12920169093131,0.064538892483435,-0.121347073648341,0.226899213298276
9,269,-1.39764333994824,3313,3744,-0.231536336738087,2.27372115270718,-2.57962369310077,2.04496075397486,0.135629223800592,0.0671934895499852,0.226899213298276
10,269,1.99338644821554,3745,4032,-0.148407609942348,1.59530285016092,-1.78332878162913,1.52032646792686,0.0422913673549169,-0.0274177090195354,0.226899213298276
0,270,0.650396087334374,1,432,1.05294127019,1.88785935613469,-1.12572204359601,3.19744450655368,0.15080311682979,-0.0652671824098615,0.339993204130804
1,270,0.00367863456638451,433,720,0.818124092553158,1.67052070295428,-1.12637289628409,2.52218908050223,-0.245322967435653,-0.253855928907119,0.339993204130804
2,270,1.67599117158912,721,1008,2.2337812476791,1.43758366208993,-0.49286338340644,4.36570469850171,0.0246610986891556,0.237432601480839,0.339993204130804
3,270,-0.697201850402881,1009,1440,1.10881125784911,1.52333517215573,-0.900876740614297,2.6325779699174,-0.0167420066662933,-0.0822190866533763,0.339993204130804
4,270,5.37301349209469,1441,1872,1.03392727708387,1.07975744424221,-0.671831291397892,1.80336955523144,0.072498197533698,-0.0014152111606979,0.339993204130804
5,270,-0.103418889971599,1873,2304,0.660340528349785,1.31790168471569,-0.95727834501695,1.83815945722574,0.065439187067697,0.00993719540426801,0.339993204130804
6,270,-0.21867364198117,2305,2736,0.904955561350502,2.61007100903052,-1.7229974775727,4.04842883638219,-0.015640474434675,-0.0709615578833364,0.339993204130804
7,270,0.055984987201652,2737,3168,1.56038479922885,1.19995462107491,-0.5628870534634,2.61318892301454,-0.0541259411020797,-0.0034174026025603,0.339993204130804
8,270,2.37645581581258,3169,3600,1.70430089881151,2.1172104354855,-0.964231358747564,4.84934506828969,-0.102318872876074,0.0316911481009558,0.339993204130804
9,270,1.22306676838323,3601,4032,0.805129929514511,2.3562342162854,-1.62199296054297,3.52403583660357,0.10593148679947,-0.134133120677093,0.339993204130804
0,271,0.069581067982157,1,432,-0.0611812884546886,4.56505519357591,-4.71247696201148,4.43511117384969,0.0460549790183163,-0.0627198524403729,0.195293810244531
1,271,-0.865246493067616,433,864,0.0596289151628171,4.30385883287065,-4.18216213020687,4.44212365169244,0.0508086363079108,-0.127576632827578,0.195293810244531
2,271,3.09387500761136,865,1296,0.674336236924836,5.59155335287294,-4.00188383102531,7.82754779465603,0.150108002881397,-0.0762053066198698,0.195293810244531
3,271,2.19807421285918,1297,1728,1.23137821983744,1.41400463501774,-0.774417874565993,2.62826383395078,-0.0516643818024933,-0.118566441400756,0.195293810244531
4,271,-0.820445612740868,1729,2160,0.136760796463817,5.00204383121944,-4.67508641565794,5.36454253706139,-0.0636942481446558,-0.0426387271274516,0.195293810244531
5,271,1.79810029269525,2161,2592,1.1487153057035,2.70610978139104,-1.57683473602875,4.78711760420169,-0.0236489907054727,0.0207235600844365,0.195293810244531
6,271,-0.313184159358446,2593,3024,0.473707607955207,2.15594900431713,-1.73985792070643,2.72222859685316,-0.0195555826093766,-0.0937854210598954,0.195293810244531
7,271,1.47908217592218,3025,3312,0.48940729207143,1.63661955911468,-1.33354220504077,2.06587044940372,0.0959112049627081,-0.209853145249609,0.195293810244531
8,271,2.88395679679758,3313,3744,1.40787172044701,3.39835905520612,-1.72411961614173,6.80868222241293,-0.0818974839524614,-0.120199027274607,0.195293810244531
9,271,0.0352810349955739,3745,4032,0.807952397410409,2.27481442408671,-1.57631257390726,3.40531321646806,-0.0466667562223104,0.0353747394642174,0.195293810244531
0,272,2.21711908143858,1,432,0.661740058768882,3.21977833540337,-2.33307230818474,4.4799295208656,0.212928053890208,0.00367321543362482,0.0685238214305283
1,272,2.6754281975827,433,864,1.01690084387363,4.3671248233661,-2.6418626510593,7.25471462188149,0.0791301012807179,-0.0880521280511191,0.0685238214305283
2,272,-1.56472380759314,865,1296,0.626339035807068,4.51224310371485,-3.3125257713241,6.17193958226687,0.0403583504979729,0.123500169662442,0.0685238214305283
3,272,1.68192276542358,1297,1728,0.69792591454939,2.26408669514085,-1.611290328635,3.21044461159869,0.00573418492960825,0.148181851062561,0.0685238214305283
4,272,0.899717759424316,1729,2160,0.751947439107237,2.74482131270213,-1.90396108532504,3.99034223333513,-0.0473168877981169,0.160081100341327,0.0685238214305283
5,272,1.11514919610352,2161,2592,0.960827494923359,4.07557908276015,-2.54116122696903,6.57675494772934,-0.029240377004526,0.0705744609107943,0.0685238214305283
6,272,0.90898242673662,2593,3024,0.524755643188795,3.25862679822623,-2.54446249879897,4.21721114736913,-0.176878285739835,0.0241574339984026,0.0685238214305283
7,272,3.30274699385166,3025,3456,0.837211772853716,4.17138884075539,-2.77624068957549,6.32568466181392,-0.146424013746314,0.119447468508685,0.0685238214305283
8,272,3.06611388729807,3457,3888,0.573264125584475,1.78386783423624,-1.37399602933964,2.37408390336799,-0.204873949634884,0.000484130883432809,0.0685238214305283
0,273,-2.65705361985856,1,432,0.747850014131267,3.09618473943546,-2.14867428097465,4.50372017154596,0.182073647197569,0.038680441045899,0.25092498729562
1,273,0.125982268097288,433,864,0.875831479049003,1.94282243423846,-1.27027793569308,3.01326109069989,0.13986029256803,0.113454404436976,0.25092498729562
2,273,0.293369232204536,865,1296,0.709402641310842,3.59856041505249,-2.53991629547813,5.12773396713223,-0.0702889041947209,-0.0922759486135485,0.25092498729562
3,273,0.165128726679178,1297,1728,0.728808210250724,3.70524595375933,-2.59458828659246,5.32458562058947,0.0801592594513257,-0.00506553104231678,0.25092498729562
4,273,2.5649397522607,1729,2160,0.950669488415074,2.64087948803304,-1.65618354423321,4.24854460481097,-0.0303686116800887,0.13706420258044,0.25092498729562
5,273,1.96020583710209,2161,2592,1.65807847428626,1.56475855100603,-0.701819407713156,3.5631171449533,-0.0397869026832856,-0.0630758943178414,0.25092498729562
6,273,1.16257745723083,2593,3024,0.35696610982253,3.28666502957761,-2.76925144916581,3.92600452246139,0.100056346700443,0.066622532180818,0.25092498729562
7,273,4.25309333220912,3025,3456,0.89285846032159,2.93769336852497,-1.92687752939914,4.55501109546142,0.141605525628556,-0.0401988350510532,0.25092498729562
8,273,-0.626600923984675,3457,3888,0.947206598023633,2.18338626375373,-1.40125039550225,3.49584531505982,-0.164841126821652,-0.043707469882573,0.25092498729562
0,274,0.514653511572076,1,432,0.0680821020458861,2.20382079855676,-2.14558200919834,2.29457906396214,0.181133342674853,0.0629693588465294,3.53134300854668e-05
1,274,2.00834978231013,433,864,1.39179828221784,1.58095681710605,-0.803765279045683,3.16488045689482,0.0189749009985065,0.15123774426444,3.53134300854668e-05
2,274,0.337675192901868,865,1152,0.227075793473386,5.59429078193952,-5.01057751921444,6.26541538730443,0.217103914933812,-0.084306368815288,3.53134300854668e-05
3,274,0.870082563110369,1153,1584,0.57761707035858,1.80590864645659,-1.36686812324402,2.419112657341,0.158031683555652,-0.0319340169388491,3.53134300854668e-05
4,274,2.056424776021,1585,2016,0.956371917976709,3.1134930230836,-1.94700049961565,5.0151787226656,0.132423641346721,0.0747659216166691,3.53134300854668e-05
5,274,-1.63969193180916,2017,2448,0.320498182548775,3.77573788385594,-3.238175828401,4.42636429109382,-0.0798484515209206,0.122955596095624,3.53134300854668e-05
