bin,subject,risk_seeking_lea,from_trial,to_trial,mean_asym_lea,mean_Rmean_lea,mean_P_lea,mean_R_lea,decodability_negative_PE,decodability_positive_PE,p_decod
0,228,-1.54614764392355,1,432,0.04232728659185,2.34528192511572,-2.31825800629264,2.4011115977222,0.0360407697244416,0.259669082650869,1.28548403489857e-05
1,228,1.9600414855592,433,864,0.325242214086652,2.4950555728108,-2.14340846718966,2.93612450193589,-0.243205980679613,0.122030968885475,1.28548403489857e-05
2,228,-0.191782702626535,865,1296,0.441259263194029,1.86242211648344,-1.51524526041926,2.32212809710281,-0.0701641381588421,0.0796961693279164,1.28548403489857e-05
3,228,0.704515272810474,1297,1584,1.11177777989964,1.3384019583026,-0.783568140473149,2.34971614659347,0.216348137196141,0.153074500195886,1.28548403489857e-05
4,228,-1.71773708796457,1585,2016,-0.250962875662462,0.911832413371957,-1.05103268376292,0.814398364481655,0.0291497630617613,0.114226616546529,1.28548403489857e-05
5,228,2.52483321760233,2017,2304,-0.0602360446145494,1.51770802632735,-1.57853690641911,1.49754672588544,-0.0946925440083891,0.00675583592525918,1.28548403489857e-05
6,228,3.13389126089453,2305,2736,0.464462879676907,2.32845363961104,-1.86406187890334,2.94193097577536,0.0742088420729251,0.0529302561424271,1.28548403489857e-05
7,228,-0.896999670366825,2737,3168,-0.507362711332816,1.63169615869975,-2.10980341564944,1.28517087750883,0.0289679195884677,-0.0315539883781556,1.28548403489857e-05
8,228,0.00618368572673029,3169,3600,-0.0187037272267179,1.73731402574282,-1.7747604747265,1.75046664936407,0.0451293852194038,0.214280994334356,1.28548403489857e-05
9,228,1.29994242856262,3601,4032,0.174601239310632,1.60692853203224,-1.51558579558576,1.7701330461134,-0.1106903063322,-0.057737278164582,1.28548403489857e-05
0,230,-1.0950116388668,1,432,-0.135830668930247,3.73207523157354,-4.01442444451763,3.49153335968313,0.137086960571512,-0.0150348125425695,1.29320475286246e-42
1,230,-1.71771673682621,433,864,-0.541611728199406,2.5219231695825,-3.31428765930092,1.93990532333813,0.184211590584317,-0.146865361235561,1.29320475286246e-42
2,230,1.42093192594872,865,1296,0.161469231377729,2.35877385349918,-2.18547517815936,2.5694319849646,0.338654331944065,-0.146734064085143,1.29320475286246e-42
3,230,-1.64245105770796,1297,1728,0.249195377440058,4.26071919161019,-3.77359626510837,4.82860170754223,0.141980567793996,0.144593070673551,1.29320475286246e-42
4,230,0.438841319285794,1729,2160,0.103079659337369,2.73457836392798,-2.61164494177975,2.88574082482847,0.31482850284911,0.0853961107704055,1.29320475286246e-42
5,230,1.9681302087609,2161,2592,-0.0508778818074364,3.51332153325818,-3.60902104933465,3.43895681651174,0.180622813855111,0.0277764233016607,1.29320475286246e-42
6,230,-0.872584202710936,2593,3024,-0.45637569062963,2.68039974733341,-3.3695816333513,2.15323579977557,0.178913189763068,0.0724891965383187,1.29320475286246e-42
7,230,-0.045787808572414,3025,3456,-0.263862130289086,4.21170286039292,-4.81470650628182,3.70656078977125,0.135226178280739,-0.08200742190487,1.29320475286246e-42
8,230,0.613519045637375,3457,3888,-0.117905457719015,4.52874053376656,-4.80741093700962,4.31182902752942,0.0144491737615435,-0.0597483688012516,1.29320475286246e-42
0,231,-0.0414025324061744,1,432,0.5611640849694,2.05089324716192,-1.55968804001358,2.72975308229447,0.146203392635655,0.0200749406408734,4.53824208562633e-47
1,231,-1.98390106440612,433,864,0.168038963508809,0.756540611600327,-0.709906359131602,0.832189070193391,0.150024922999334,0.178038892709621,4.53824208562633e-47
2,231,1.35170145410633,865,1296,0.17576149782192,2.3981851156984,-2.20711519803041,2.62516836403342,0.259798031741069,0.104310995979544,4.53824208562633e-47
3,231,-0.805878039722344,1297,1728,0.953292794471752,1.3637185009248,-0.86539350251731,2.19254833297215,0.0855630274244465,0.0170682731960079,4.53824208562633e-47
4,231,1.37768438126068,1729,2160,0.270731095541259,1.44558713315318,-1.28324266961713,1.65984066694229,0.191571603278042,0.0598976887583278,4.53824208562633e-47
5,231,0.948314817773972,2161,2592,0.434558082204558,0.903541472824359,-0.737641378596022,1.14098102138347,0.194762206825499,0.00566747492275558,4.53824208562633e-47
6,231,1.5683103312302,2593,3024,0.94240358772513,1.87824194732843,-1.19809659512926,2.99772920877421,0.111303421592182,0.0692445790748996,4.53824208562633e-47
7,231,0.406900091870694,3025,3456,0.197211249414456,0.858106192778722,-0.808194197434701,0.957996087930905,0.180086801009149,0.0449358182115883,4.53824208562633e-47
8,231,-1.73694094222856,3457,3888,0.360907309214787,1.91030724483792,-1.65465303733112,2.28824301060435,0.426645594195716,-0.093679218028011,4.53824208562633e-47
0,232,-0.76665579317166,1,432,-0.266285937295284,2.06410971409784,-2.37185847592118,1.82042998850723,-0.111099415698881,-0.066101050315105,0.00309721565715777
1,232,-0.684537698421708,433,864,-0.0249180799456562,3.03081099981719,-3.07957773030695,3.0033204502972,-0.0690388374425627,0.00479907385962563,0.00309721565715777
